species.id,genus,species,subspecies,scientific.name,common.name,origin,taxa,vector,first.date,IF.score,unknown,tm.161,status,Scientific Name,IF Score,Source
5,Dreissena,polymorpha,,Dreissena polymorpha,Zebra mussel,Eurasia,Mollusks,Ballast,1986,55,0,a,established,Dreissena polymorpha,55,TM-161
95,Dreissena,bugensis,,Dreissena bugensis,Quagga mussel,Eurasia,Mollusks,Ballast,1896,45,0,a,established,Dreissena bugensis,45,"Sturtevant and Elgin 2019 (TM-161c), TM-161"
490,Alosa,pseudoharengus,,Alosa pseudoharengus,Alewife,North America,Fish,Canal,1868,32,0,d,established,Alosa pseudoharengus,32,Bartos 2020 (TM-161d)
836,Petromyzon,marinus,,Petromyzon marinus,Sea Lamprey,North America,Fish,Canal,1863,30,1,d,established,Petromyzon marinus,30,Lower 2020 (TM-161d)
3585,Microstegium,vimineum,,Microstegium vimineum,Japanese stiltgrass,Eurasia,Plants,Hitchhiker,1991,26,1,d,established,Microstegium vimineum,26,Bartos 2020 (TM-161d)
2947,Ctenopharyngodon,idella,,Ctenopharyngodon idella,Grass Carp (diploid),Asia,Fish,Deliberate Release,1993,25,0,c,established,Ctenopharyngodon idella,25,Boucher 2019 (TM-161c)
2937,Phragmites,australis,australis,Phragmites australis australis,Common reed,Europe,Plants,Ballast,1869,25,0,b,established,Phragmites australis australis,25,Iott 2016 (TM-161b)
263,Trapa,natans,,Trapa natans,Water chestnut,Eurasia,Plants,Direct Accidental Release,1949,25,0,e,established,Trapa natans,25,Lower 2021
777,Morone,americana,,Morone americana,White Perch,North America,Fish,Canal,1946,22,1,a,established,Morone americana,20,Bartos 2021
713,Neogobius,melanostomus,,Neogobius melanostomus,Round Goby,Eurasia,Fish,Ballast,1990,22,0,d,established,Neogobius melanostomus,22,Sturtevant 2020 (TM-161d)
2736,Renibacterium (Corynebacterium),salmoninarum,,Renibacterium (Corynebacterium) salmoninarum,"Bacterial kidney disease (BKD), Dee disease",Europe,Other,Hitchhiker,1967,18,0,a,established,Renibacterium (Corynebacterium) salmoninarum,18,TM-161
237,Myriophyllum,spicatum,,Myriophyllum spicatum,Eurasian watermilfoil,Eurasia,Plants,Direct Accidental Release,1880,16,0,a,established,Myriophyllum spicatum,16,TM-161
163,Cercopagis,pengoi,,Cercopagis pengoi,Fishhook waterflea,Asia,Crustaceans,Ballast,1978,14,2,c,established,Cercopagis pengoi,14,"Boucher 2019 (TM-161c), TM-161"
846,Gambusia,affinis,,Gambusia affinis,Western Mosquitofish,North America,Mollusks,Unknown,1923,14,5,Bartos 2022,established,Gambusia affinis,14,Bartos 2022
2656,Novirhabdovirus,sp.,genotype IV sublineage b,Novirhabdovirus sp. genotype IV sublineage b,Viral Hemorrhagic Septicemia Virus (VHSV-IVb),North America,Other,Unknown,1969,14,0,a,established,Novirhabdovirus sp. genotype IV sublineage b,14,TM-161
796,Osmerus,mordax,,Osmerus mordax,Rainbow Smelt,North America,Fish,Direct Accidental Release,1906,14,1,d,established,Osmerus mordax,14,Bartos 2020 (TM-161d)
3814,Salix,atrocinerea,,Salix cf. cinerea/atrocinerea,Large gray willow,Eurasia,Plants,Unknown,,14,0,,established,Salix cf. cinerea/atrocinerea,0,
4,Cyprinus,carpio,,Cyprinus carpio,Common Carp,Eurasia,Fish,Deliberate Release,1894,13,6,e,established,Cyprinus carpio,13,Bartos 2021
2697,Frangula,alnus,,Frangula alnus,Glossy buckthorn,Eurasia,Plants,Deliberate Release,1874,13,2,a,established,Frangula alnus,13,"Sturtevant 2018 (TM-161b), TM-161"
920,Oncorhynchus,tshawytscha,,Oncorhynchus tshawytscha,Chinook Salmon,North America,Fish,Deliberate Release,1873,13,1,c,established,Oncorhynchus tshawytscha,13,"Boucher and Lower 2019 (TM-161c), TM-161"
1115,Iris,pseudacorus,,Iris pseudacorus,Yellow iris,Other,Plants,Deliberate Release,1882,11,3,a,established,Iris pseudacorus,11,TM-161
1688,Nitellopsis,obtusa,,Nitellopsis obtusa,Starry stonewort,Eurasia,Plants,Ballast,1978,11,1,a,established,Nitellopsis obtusa,11,TM-161
92,Corbicula,fluminea,,Corbicula fluminea,Asian clam,Asia,Mollusks,Direct Accidental Release,1933,10,1,Bartos 2022,established,Corbicula fluminea,10,Bartos 2022
987,Bithynia,tentaculata,,Bithynia tentaculata,Mud bithynia,Europe,Mollusks,Ballast,1871,9,6,a,established,Bithynia tentaculata,9,TM-161
239,Lythrum,salicaria,,Lythrum salicaria,Purple loosestrife,Eurasia,Plants,Ballast,1869,9,0,a,established,Lythrum salicaria,9,TM-161
910,Oncorhynchus,mykiss,,Oncorhynchus mykiss,Rainbow Trout,North America,Fish,Deliberate Release,1880,9,3,a,established,Oncorhynchus mykiss,9,TM-161
1134,Potamogeton,crispus,,Potamogeton crispus,Curly-leaf pondweed,Eurasia,Plants,Hitchhiker,1879,9,1,a,established,Potamogeton crispus,9,TM-161
217,Procambarus,clarkii,,Procambarus clarkii,Red Swamp Crayfish,North America,Crustaceans,Direct Accidental Release,1967,9,0,b,established,Procambarus clarkii,9,Boucher 2019 (TM-161b)
931,Salmo,trutta,,Salmo trutta,Brown Trout,Europe,Fish,Deliberate Release,1883,9,3,a,established,Salmo trutta,9,TM-161
162,Bythotrephes,longimanus,,Bythotrephes longimanus,Spiny waterflea,Europe,Crustaceans,Ballast,1880,8,2,a,established,Bythotrephes longimanus,8,TM-161
231,Cabomba,caroliniana,,Cabomba caroliniana,Carolina fanwort,North America,Plants,Direct Accidental Release,1935,8,0,a,established,Cabomba caroliniana,8,TM-161
2664,Echinochloa,crus-galli,,Echinochloa crus-galli,Barnyardgrass,Eurasia,Plants,Deliberate Release,1838,8,2,a,established,Echinochloa crus-galli,9,TM-161
3810,Filipendula,ulmaria,,Filipendula ulmaria,Queen of the meadow,Eurasia,Plants,Direct Accidental Release,,8,,Rose 2022,established,Filipendula ulmaria,8,Rose 2022
2364,Myxobolus,cerebralis,,Myxobolus cerebralis,Salmonid whirling disease,Europe,Other,Hitchhiker,1938,8,0,a,established,Myxobolus cerebralis,8,TM-161
3247,Salmincola,californiensis,,Salmincola californiensis,Gill maggot,North America,Crustaceans,Hitchhiker,2014,8,1,d,established,Salmincola californiensis,8,Bartos 2020 (TM-161d)
2679,Typha,angustifolia,,Typha angustifolia,Narrow-leaved cattail,Eurasia,Plants,Direct Accidental Release,1877,8,0,a,established,Typha angustifolia,8,TM-161
2732,Daphnia,galeata,galeata,Daphnia galeata galeata,A waterflea,Eurasia,Crustaceans,Ballast,1980,7,0,c,established,Daphnia galeata galeata,7,"Boucher 2019 (TM-161c), TM-161"
2661,Heterosporis,sutherlandae,,Heterosporis sutherlandae,A microsporidian parasite,Unknown,Other,Hitchhiker,2000,7,0,a,established,Heterosporis sutherlandae,7,"Sturtevant 2018 (TM-161b), TM-161"
2666,Persicaria,maculosa,,Persicaria maculosa,Spotted ladysthumb,Eurasia,Plants,Unknown,1838,7,2,a,established,Persicaria maculosa,7,"Lower 2019 (TM-161c), TM-161"
